"Title","Categories: Sub","ASIN"
"ZEFFFKA 2 Pack of Fabric Iron-on Patches Inside & Outside Strongest Glue 100% Cotton Blue Gray Beige Brown Repair Decorating Kit 12 Pieces Size 3"" by 4-1/4"" (7.5 cm x 10.5 cm)","Iron-on Transfers, Categories","B0D885FL2N"
"Silicone Earring Backs Earring Backings Soft Clear Ear Safety Back Pads Backstops Clutch Stopper Replacement for Fish Hook Earring Studs Hoops Diameter 4mm (300)","Earring Backs & Findings","B0C2GZFSKZ"
"Mr. Pen- Safety Pins, 3 Inch, 50 Pack, Oversize Safety Pin, Large Safety Pins for Clothes, Oversized Safety Pins for Clothes, Large Safety Pins Heavy Duty Safety Pins, Big Safety Pins Heavy Duty","Safety Pins","B0CMPZWVR3"
"WELLOKB Alcohol Markers, 60 Dual Tip Permanent Art Markers for Coloring, Illustrations, and Sketching, Includes Case for Easy Storage, Alcohol, Based Ink Ideal for Book Painting and Card Making","Markers","B0BXPC39M8"
"30Ft x 1 Inch Hook and Loop Strips with Adhesive, Double Rolls of Heavy Duty Self Adhesive Tape with Backing, Nylon Self Adhesive Tape for Home Office School and Crafting,Black","Interlocking Tape, HMT test","B0CGVPMJBP"
"Gionlion Christmas Bracelet Making Kit, Clay Beads Friendship Bracelet Kit Christmas Crafts Gifts for Girls Ages 6-12, Gold Beads Charm Bracelet Maker Set Preppy Jewelry Making Kit Gifts for Teen","Beads & Bead Assortments","B0DJMXK6L3"
"Soucolor Acrylic Paint Brushes Set, 20Pcs Round Pointed Tip Artist Paintbrushes for Acrylic Painting Oil Watercolor Canvas Boards Rock Body Face Nail Art, Halloween Pumpkin Ceramic Crafts Supplies","Pointed-Round Paintbrushes","B09G614XWN"
"posca Markers Bundle, 24 Medium Paint Markers 5M - 8 Warm Tones + 8 Cool Tones + 8 Multicolor Tones","Markers","B0DL6H35P7"
"LitEnergy Rechargeable Battery Powered Light Tracing Box, Ultra-Thin Adjustable USB Power Artcraft LED Trace Light Pad Size A4 for Drawing, Streaming, Sketching, Animation, Stenciling (Green)","Light Boxes","B09N6THC65"
"HeatnBond Hem Iron-On Adhesive, Super Weight, 3/4 Inch x 8 Yards, White (Pack of 2)","Fusible & Hem Tape","B0DC7Y1Z78"
"LIVINGO 8.5” Premium Heavy Duty Scissors, Forged Stainless Steel Titanium Coated Sharp Fabric Shears All Purpose for Sewing Tailor Dressmaking Crafting Cutting Leather Home Office Use, Black","Scissors","B09N6TC9VL"
"Sewing Kit Basic,Marcoon Needle and Thread Kit with Sewing Supplies and Accessories for Adults,Kids,Beginner,Home,Travel,Emergency Including Scissors,Measure Tape,Needle Threader and More","Sewing Project Kits, HMT test","B0BBWHFF2W"
"Crochet Hooks 9 Sizes Crochet Hook Set, 49 Pack Yarn Crochet Kit for Beginners, Knitting Needles with Ergonomic Handles for Arthritic Hands, Crochet Needle Kit with Blue Case for Crocheters","Crochet Hooks","B0D6GKTTPH"
"Citylife 32 QT Plastic Storage Bins with Removable Tray Large Stackable Storage Containers for Organizing Craft Storage and Storage Craft, Clothes, Files, Office Supplies, 2 Packs","Craft & Sewing Supplies Storage, Storage Boxes & Organizers","B0DCYFK7VK"
"Amazon Basics Purple Washable School Glue Sticks, Dries Clear, 0.21-oz Stick, 2-Pack","Glue Sticks & Pens","B0CRCWCGNW"
"Christmas Bracelet Making Kit Friendship Gold Beads Clay Beads Jewelry&Bracelet Making Kit Charm Bracelet Maker Set with Letter Beaded Kit Birthday Gift Age 6-13","Beads & Bead Assortments","B0DHVL5DWX"
"3.7oz B7000 Rhinestone Clear Glue for Jewelry Making, 110 ml Multipurpose Adhesive Jewlery Glue for Fabric, Tumblers, Rhinestones DIY Crafts, Nail Art, Makeup, Shoes, Cell Phones, Tablet, Wood","2933695011","B0B37LSXDZ"
"2774pcs Gem Stickers Jewels for Crafts - Self Adhesive Rhinestone Jewel Stickers, Stick on Gems Rhinestones for Crafts, Acrylic Bling Heart Stickers, Craft Supplies for Kids","Stickers & Sticker Machines, HMT test","B0BS4BVG3M"
"Sharpie Creative Paint-like Brush Tip Acrylic Markers, Assorted Colors, 12 Count, Perfect for Art and Craft Supplies","Pens & Markers, HMT test","B0CPMTDYVB"
"Rit Liquid Dye, Pearl Gray 8oz & Royal Blue 8 Oz Bundle - Vibrant Fabric Dye 2 Pack","Dyes","B0D2VX5B42"
"HTVRONT Green Chrome Vinyl - 12"" x 10FT Mirror Metallic Green Vinyl for Cricut - Easy to Weed & Transfer Green Permanent Vinyl Roll","Adhesive Vinyl","B0B3M479CS"
"Huiruso 8 Pack Double Sided Tape Roller, Scrapbook Supplies, Glue Tape Roller for Crafts, Double-Sided Adhesive Tape Runner for Scrapbooking, School Office Journaling Supplies (0.31 in X 26.25 ft)","Arts & Crafts Tape","B0CPPDP4HB"
"TONIFUL 1 Inch x 100yds Coffee Brown Satin Ribbon, Thin Solid Color Satin Ribbon for Gift Wrapping, Crafts, Hair Bows Making, Wedding Party Decoration, Invitation Cards, Floral Bouquets, Christmas","Ribbons","B0D2ND6G24"
"Drybrush Miniature Paint Brushes -10pcs Micro Detail Paint Brush Set, Small Fine Detail Brushes for Acrylics, Watercolors & Paint by Number, Citadel, Figurine, 40k","Paintbrush Sets","B0CKHRLQ6Y"
"Fiskars Heavy-Duty Easy Change Detail Knife (with #2 Blade) - for Heavy and Thick Materials - Arts and Crafts","Art Blades","B0C8BPJLW1"
"PerkHomy White Kraft Paper Roll 17.5"" x 1,440"" (120') for Gift Wrapping Bouquet Flower Kids Art Painting Craft Writing Packaging Shipping 80GSM 55LB (White, 17.5"" x 120')","Kraft Paper","B0CFLRFRK6"
"FolkArt 662B Acrylic Paint Metallic 2OZ, 2 Fl Oz (Pack of 24), Silver Sterling","Paints","B0CBQJ31D3"
"Besezx Leather Repair Patch Tape Kit, Self Adhesive Leather Repair for Furniture, Couch, Sofa, Car Seats,Office Chair,Vinyl Repair Kit.3.1inx60in","Leathercraft Accessories","B0CF27587F"
"Anezus 1200PCS Jump Rings for Jewelry Making Kit, Jump Rings and Necklace Clasps with Jump Ring Pliers Tools for Jewelry Making Supplies and Necklace Repair (Gold)","Jump Rings","B0DBHNPBZ5"
"NOANTA Light Yellow Macrame Cord 5mm x 109yards, Colored Macrame Rope Cotton Rope Macrame Yarn, Colorful Cotton Craft Cord for Wall Hanging, Plant Hangers, Crafts, Knitting","Macrame & Knotting","B09Z2HDVBP"
"Chalk Markers - 8 Vibrant Fine Tip, Erasable, Non-Toxic, Water-Based, For Kids & Adults for Glass or Chalkboard Markers for Businesses, Restaurants, Liquid Chalk Markers (Vibrant 1mm)","Chalk, Markers","B0C1Q1D7N2"
"GoTo Foam 6"" Height x 24"" Width x 72"" Length 36ILD (Semi-Firm) Upholstery Cushion Made in USA","Cushion & Upholstery Foam","B07S4FRXBK"
"Hapikalor 18""x24"" Large Watercolor Paper Pad, 1-Pack 30 Sheets 140lb/300gsm Artist Painting Large Drawing Pad, Art Supplies for Adults Kids, Watercolors, Watercolor Paint Set, Sketchbook, Teal","Paper & Paper Crafts, Watercolor Paper","B0DF71D6DS"
"HOMBYS Dark Purple Chunky Chenille Yarn for Crocheting, Bulky Thick Fluffy Yarn for Knitting,Super Bulky Chunky Yarn for Hand Knitting Blanket, Soft Plush Yarn, 8 Jumbo Pack (27 yds,8 oz Each Skein)","Yarn","B0CP942GG5"
"Dowsabel Clay Beads Bracelet Making Kit for Beginner, 5000 Pcs Preppy Polymer Clay Beads with Charms Kit for Jewelry Making, DIY Arts and Crafts Birthday Gifts Toys for Kids Age 6-13","Beading Kits, HMT test","B0BWMPGFVL"
"B-7000 Glue Clear for Rhinestone Crafts, Jewelry and Bead Adhesive B7000 Semi Fluid High Viscosity Glues for Clothes Shoes Fabric Cell Phones Screen Repair Metal Stone Nail Art Glass (4x15 ml/0.5 oz)","2933695011, HMT test","B09SL5LT8W"
"ONine Leather Repair Patch，Leather Repair Tape, 16 x 90 inches Leather Repair Patch for Furniture,Vinyl Repair Kit，Leather Couch Patch，for Sofas, Furniture, Car Seats（Grey-Litchi Grain","Leather Strips, Shapes, & Scraps","B0CN2Q5FYV"
"HTVRONT Heat Transfer Vinyl Rolls - 12"" x 20ft Camo Coffee Iron on Vinyl for Shirts, HTV Vinyl for All Cutter Machine - Easy to Cut & Weed for HTV Heat Vinyl Design (Camo Coffee)","Adhesive Vinyl","B0D1C4Y8GP"
"Gorilla Heavy Duty Spray Adhesive, Multipurpose and Repositionable, 14 Ounce, Clear, (Pack of 2)","Adhesive Sprays","B0B191V6VJ"
"VANBARIS Silver Necklace Extenders for Women, 925 Sterling Silver Necklace Extender Silver Bracelet Extender Silver, 2 Piece Set (2, 3 Inches)","Jewelry Making Chains","B0DT92DP1K"
"Single Hole Punch Paper Hole Puncher for Crafts, One Hole Punch with Pink Soft Grip Handle, Hole Punch for Kids and Adults, Handheld Circle Punch for Paper Crafts in Home, Office, Classroom, 2Pack","Punches","B0C8SFDZMT"
"Diamond Painting Sealer (1 Glue)","Tools & Accessories","B0CJXC22FP"
"Bflaae Ring Sizer Measuring Tool Kit, 27 PCS Stainless Steel Measuring Ring Tool, US Ring Size 0-13 with Half Size, 2 PCS Reusable Finger Size Tape with Magnified Glass 1-17 USA Rings Size","Jewelry Sizers & Mandrels, Find your ring size","B0CX8Z72F4"
"CHANGTIKEJI Mica Powder for Epoxy Resin 280g - 70 Colors Pearlescent Pigment Powder - Easy to Mix & Natural for Soap Making, Candle Making,Lip Gloss,Car Freshies,Dye,Nail Polish,Bath Bombs","Dyes","B0C77GL35D"
